tick,v_mut,sc_mode,sc_out_j,sc_heat_j,bank_j,overflow_j,scv_active,scv_heat_j,ch_a_j,ch_b_j,ch_c_j,vics_out_j,vics_heat_j,battery_j,battery_cap,soh_pct,device2,sc2_to_bank_j,sc2_heat_j,device3,sc3_to_bank_j,sc3_heat_j
1,121.77,trickle,3.0,1.0,160.179,0.0,0,0.0,30.0,60.0,26.0,13.58,0.42,54.58,250.0,100.0,1,2.288,0.156,1,4.891,0.398
2,145.39,boost,16.935,1.473,184.294,0.0,0,0.0,30.0,60.0,12.0,13.58,0.42,59.16,250.0,100.0,1,2.288,0.156,1,4.891,0.398
3,124.7,boost,3.135,0.273,194.608,0.0,0,0.0,30.0,52.0,6.0,13.58,0.42,63.74,250.0,100.0,1,2.288,0.156,1,4.891,0.398
4,125.59,boost,3.73,0.324,205.517,0.0,0,0.0,30.0,38.0,6.0,13.58,0.42,68.32,250.0,100.0,1,2.288,0.156,1,4.891,0.398
5,125.98,boost,3.992,0.347,216.688,0.0,0,0.0,30.0,25.0,5.0,13.58,0.42,72.9,250.0,100.0,1,2.288,0.156,1,4.891,0.398
6,125.84,boost,3.897,0.339,227.765,0.0,0,0.0,30.0,25.0,0.0,4.85,0.15,68.75,250.0,100.0,1,2.288,0.156,1,4.891,0.398
7,158.93,boost,25.968,2.258,260.913,0.0,0,0.0,30.0,25.0,0.0,0.0,0.0,59.75,250.0,100.0,1,2.288,0.156,1,4.891,0.398
8,141.54,boost,14.37,1.25,282.462,0.0,0,0.0,30.0,25.0,0.0,0.0,0.0,50.75,250.0,100.0,1,2.288,0.156,1,4.891,0.398
9,122.56,trickle,3.0,1.0,290.37,0.0,0,0.0,30.0,25.0,0.0,0.0,0.0,45.0,250.0,100.0,1,2.288,0.156,1,2.62,0.213
10,136.75,boost,11.175,0.972,300.0,1.545,0,0.0,30.0,25.0,0.0,1.788,0.23,44.788,250.0,100.0,1,2.288,0.156,0,0.0,0.0
11,119.05,trickle,3.0,1.0,300.0,3.0,0,0.0,30.0,25.0,0.0,3.473,0.446,45.0,250.0,100.0,1,2.288,0.156,1,0.328,0.098
12,117.34,trickle,3.0,1.0,300.0,3.0,0,0.0,30.0,25.0,0.0,3.473,0.446,45.0,250.0,100.0,1,2.288,0.156,1,0.383,0.115
13,115.87,trickle,3.0,1.0,300.0,3.0,0,0.0,30.0,25.0,0.0,3.473,0.446,45.0,250.0,100.0,1,2.288,0.156,1,0.383,0.115
14,114.77,trickle,3.0,1.0,300.0,3.0,0,0.0,30.0,25.0,0.0,3.473,0.446,45.0,250.0,100.0,1,2.288,0.156,1,0.383,0.115
15,114.13,trickle,3.0,1.0,300.0,3.0,0,0.0,30.0,25.0,0.0,3.473,0.446,45.0,250.0,100.0,1,2.288,0.156,1,0.383,0.115
16,178.49,boost,39.012,3.392,300.0,39.012,0,0.0,30.0,51.558,6.0,13.58,4.823,49.58,250.0,100.0,1,2.288,0.156,1,4.891,0.398
17,114.45,trickle,3.0,1.0,300.0,3.0,0,0.0,30.0,41.138,6.0,13.58,0.759,54.16,250.0,100.0,1,2.288,0.156,1,4.891,0.398
18,115.36,trickle,3.0,1.0,300.0,3.0,0,0.0,30.0,30.718,6.0,13.58,0.759,58.74,250.0,100.0,1,2.288,0.156,1,4.891,0.398
19,193.27,boost,48.873,4.25,300.0,48.873,0,0.0,30.0,60.0,21.045,13.58,5.936,63.32,250.0,100.0,1,2.288,0.156,1,4.891,0.398
20,118.32,trickle,3.0,1.0,300.0,3.0,0,0.0,30.0,60.0,10.625,13.58,0.759,67.9,250.0,100.0,1,2.288,0.156,1,4.891,0.398
21,127.84,boost,5.228,0.455,300.0,5.228,0,0.0,30.0,56.864,6.0,13.58,1.01,72.48,250.0,100.0,1,2.288,0.156,1,4.891,0.398
22,121.87,trickle,3.0,1.0,300.0,3.0,0,0.0,30.0,46.444,6.0,13.58,0.759,77.06,250.0,100.0,1,2.288,0.156,1,4.891,0.398
